condition,variant,swarm_seed,controller_seed,seed,obstacle_layout_seed,obstacle_center_permutation,scenario_id,wall_pairs,wall_count,wall_width,wall_extension,trigger_progress,activation_preview_clearance,activation_step,activation_progress,activation_reason,activation_clearance,block_step,success,failure_reason,reached_goal,collision,not_reaching,first_collision_step,collision_after_block,exposed_to_blocker,goal_reached_before_block,selected_mode_switches,last_selected_mode,final_dist,min_clearance_dynamic,min_clearance_after_block,path_length,path_length_after_block,control_effort,control_effort_after_block,control_smoothness,control_smoothness_after_block,steps,steps_after_block,runtime_sec,runtime_per_step_sec,goal_tolerance,error
dynamic_wall,control_bank_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,0.25,0.75,12,0.2450229926515935,clearance_preview,0.5712655583422859,12,True,,True,False,False,,False,True,False,0,,0.24432088344035072,0.015027694546867199,0.015027694546867199,14.675797864203608,11.771350645342453,289.2471241536537,236.4148113780142,28.38060022133331,23.368804097075756,63,51,0.3705827419998968,0.005882265746030109,0.3,
dynamic_wall,mode_selecting_homotopy_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,0.25,0.75,12,0.2419555336375864,clearance_preview,0.7247412876703958,12,True,,True,False,False,,False,True,False,25,4,0.2655830739909716,0.021445158785900614,0.021445158785900614,14.962154946614238,12.200455058634123,266.5859604873361,221.6398606447159,23.12922875079381,21.395684723766294,68,56,0.5665311940010724,0.008331341088251065,0.3,
dynamic_wall,mode_selecting_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,0.25,0.75,12,0.2419555336375864,clearance_preview,0.7247412876703958,12,True,,True,False,False,,False,True,False,25,4,0.2655830739909716,0.021445158785900614,0.021445158785900614,14.962154946614238,12.200455058634123,266.5859604873361,221.6398606447159,23.12922875079381,21.395684723766294,68,56,0.5648010829991108,0.008305898279398689,0.3,
dynamic_wall,standard_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,0.25,0.75,9,0.23111564694650585,clearance_preview,0.4949287615217109,9,False,not_reaching,False,False,True,,False,True,False,0,,8.542494443367325,0.015489991817807691,0.015489991817807691,2.8963746811989886,0.1680000000000001,76.19687485670441,15.19180959426496,40.738876900971206,28.637590796107173,130,121,0.2732339920003142,0.002101799938463955,0.3,
static_wall,full_swarm_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,5,1,0.3011552918569357,0.16807005192341135,0.16807005192341135,14.691505215433887,14.691505215433887,214.08129213276996,214.08129213276996,32.15871622798613,32.15871622798613,115,115,0.6644119590000628,0.00577749529565272,0.3,
static_wall,gaussian_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,5,1,0.3011552918569357,0.16807005192341135,0.16807005192341135,14.691505215433887,14.691505215433887,214.08129213276996,214.08129213276996,32.15871622798613,32.15871622798613,115,115,0.6626748260005115,0.005762389791308796,0.3,
static_wall,corridor_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,3,0,0.3003022544022365,0.16023155937919287,0.16023155937919287,15.011584523835003,15.011584523835003,229.89059504970234,229.89059504970234,29.65622622050604,29.65622622050604,118,118,0.720807571999103,0.00610853874575511,0.3,
static_wall,frenet_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,False,not_reaching,False,False,True,,False,True,False,0,1,1.3407807699658614,0.15588829561399842,0.15588829561399842,13.889213763994407,13.889213763994407,192.58848154108148,192.58848154108148,24.561311682388723,24.561311682388723,130,130,0.811312571999224,0.006240865938455569,0.3,
static_wall,heatmap_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,3,0,0.3003022544022365,0.16023155937919287,0.16023155937919287,15.011584523835003,15.011584523835003,229.89059504970234,229.89059504970234,29.65622622050604,29.65622622050604,118,118,0.7053644560000976,0.005977664881356759,0.3,
static_wall,control_bank_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,0,,0.2699246916028063,0.09034055538254138,0.09034055538254138,13.862837289673157,13.862837289673157,268.22835192710875,268.22835192710875,14.165163893227415,14.165163893227415,57,57,0.2989159049993759,0.005244138684199578,0.3,
static_wall,mode_selecting_homotopy_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,20,0,0.30365509847593336,0.21302742236891592,0.21302742236891592,12.508779461684096,12.508779461684096,197.93766981309653,197.93766981309653,27.167221113044352,27.167221113044352,70,70,0.8167460000004212,0.011667800000006017,0.3,
static_wall,mode_selecting_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,20,0,0.30365509847593336,0.21302742236891592,0.21302742236891592,12.508779461684096,12.508779461684096,197.93766981309653,197.93766981309653,27.167221113044352,27.167221113044352,70,70,0.817308031999346,0.011675829028562085,0.3,
static_wall,standard_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,False,not_reaching,False,False,True,,False,True,False,0,,8.542494443367325,0.015489991817807691,0.015489991817807691,2.8963746811989886,2.8963746811989886,76.19687485670441,76.19687485670441,40.738876900971206,40.738876900971206,130,130,0.28861143500034814,0.0022200879615411396,0.3,
dynamic_wall,full_swarm_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,0.25,0.75,13,0.2552888087001936,progress,3.5763609475174176,13,True,,True,False,False,,False,True,False,32,10,0.2585879714370239,0.27023934156802826,0.27023934156802826,12.154502934210845,9.246847181456587,146.95535728876843,101.44456200797654,20.21700558388938,19.95328145854446,84,71,0.7154275350003445,0.008516994464289815,0.3,
dynamic_wall,gaussian_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,0.25,0.75,13,0.2552888087001936,progress,3.5763609475174176,13,True,,True,False,False,,False,True,False,32,10,0.2585879714370239,0.27023934156802826,0.27023934156802826,12.154502934210845,9.246847181456587,146.95535728876843,101.44456200797654,20.21700558388938,19.95328145854446,84,71,0.7008193620004022,0.008343087642861931,0.3,
