condition,variant,swarm_seed,controller_seed,seed,obstacle_layout_seed,obstacle_center_permutation,scenario_id,wall_pairs,wall_count,wall_width,wall_extension,trigger_progress,activation_preview_clearance,activation_step,activation_progress,activation_reason,activation_clearance,block_step,success,failure_reason,reached_goal,collision,not_reaching,first_collision_step,collision_after_block,exposed_to_blocker,goal_reached_before_block,final_dist,min_clearance_dynamic,min_clearance_after_block,path_length,path_length_after_block,control_effort,control_effort_after_block,control_smoothness,control_smoothness_after_block,steps,steps_after_block,runtime_sec,runtime_per_step_sec,goal_tolerance,error
dynamic_wall,gaussian_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,walls_0_1__1_2,0-1;1-2,2,0.4,0.2,0.25,0.75,18,0.25544215783379043,progress,0.8105762304910273,18,True,,True,False,False,,False,True,False,0.2631424139487987,0.04518919115495609,0.04518919115495609,19.173138703041424,16.224208134552356,183.6214165051846,144.0923364871967,78.58041642919082,65.33686576479955,100,82,1.0159963559999596,0.010159963559999596,0.3,
dynamic_wall,corridor_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,walls_0_1__1_2,0-1;1-2,2,0.4,0.2,0.25,0.75,20,0.25476518327105435,progress,0.9117563690784818,20,True,,True,False,False,,False,True,False,0.2846998010205078,0.07839305258160995,0.07839305258160995,17.748274303520514,14.779887946215712,168.17037894673237,126.5855106160121,97.86139432883185,67.73402282490039,96,76,0.694567061989801,0.007235073562393761,0.3,
dynamic_wall,frenet_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,walls_0_1__1_2,0-1;1-2,2,0.4,0.2,0.25,0.75,18,0.2553429659888803,progress,0.7904873497371663,18,True,,True,False,False,,False,True,False,0.2492018937758272,0.05812756566094926,0.05812756566094926,18.423584268882806,15.481793777915659,184.2679588961283,145.14906259804366,81.78739271336039,68.30952826431967,97,79,0.8789091039798222,0.009060918597730127,0.3,
dynamic_wall,control_bank_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,walls_0_1__1_2,0-1;1-2,2,0.4,0.2,0.25,0.75,17,0.25790318260515255,progress,1.032436101494224,17,True,,True,False,False,,False,True,False,0.24006158152571347,0.2813562922206257,0.2813562922206257,19.530095949086018,16.544779274770967,113.20066183889469,68.88731699759656,71.20319646727822,40.532650906616546,83,66,0.7128023680124898,0.008587980337499877,0.3,
dynamic_wall,standard_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,walls_0_1__1_2,0-1;1-2,2,0.4,0.2,0.25,0.75,14,0.25716719233896196,progress,0.8021518438935742,14,False,collision,False,True,False,26,True,True,False,6.755257598820465,-0.07224299234640072,-0.07224299234640072,6.576544142924911,3.64215806988866,684.7582181399644,631.2177727587709,559.092116528581,553.2281173170052,150,136,0.762101967993658,0.0050806797866243866,0.3,
static_wall,gaussian_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,walls_0_1__1_2,0-1;1-2,2,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,0.29438224282144243,0.340151514666067,0.340151514666067,17.575623466278525,17.575623466278525,71.1946933270251,71.1946933270251,27.661160531206676,27.661160531206676,65,65,0.6827182080014609,0.010503357046176321,0.3,
static_wall,corridor_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,walls_0_1__1_2,0-1;1-2,2,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,0.25565831894679275,0.30545630343781727,0.30545630343781727,15.824152896704506,15.824152896704506,79.9828067737419,79.9828067737419,56.40088653011432,56.40088653011432,60,60,0.44985769799677655,0.007497628299946276,0.3,
static_wall,frenet_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,walls_0_1__1_2,0-1;1-2,2,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,0.3040034344355403,0.4919345892078421,0.4919345892078421,17.171134543719745,17.171134543719745,80.41554770266234,80.41554770266234,26.738646894621443,26.738646894621443,64,64,0.5677719770174008,0.008871437140896887,0.3,
static_wall,control_bank_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,walls_0_1__1_2,0-1;1-2,2,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,0.27157155088263607,0.3081300047267194,0.3081300047267194,16.71640142578482,16.71640142578482,68.85054963162982,68.85054963162982,44.017974568582936,44.017974568582936,63,63,0.5422699810005724,0.008607460015882102,0.3,
static_wall,standard_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,walls_0_1__1_2,0-1;1-2,2,0.4,0.2,,0.75,0,0.0,from_start,,0,False,not_reaching,False,False,True,,False,True,False,0.482383951689745,0.05393180610485915,0.05393180610485915,18.968049147162535,18.968049147162535,234.9821317167163,234.9821317167163,103.46182304945816,103.46182304945816,150,150,0.7931828649889212,0.005287885766592808,0.3,
no_wall,gaussian_prior_mppi,5,1,1,1,0->1;1->4;2->0;3->5;4->3;5->6;6->2,no_wall,,0,0.0,0.0,,0.75,,,,,,False,collision,False,True,False,17,False,False,False,6.293240953559441,-0.18956168516857685,nan,5.62092848598236,nan,688.8727552388353,nan,562.2332615261093,nan,150,0,0.9788813669874799,0.006525875779916532,0.3,
no_wall,corridor_prior_mppi,5,1,1,1,0->1;1->4;2->0;3->5;4->3;5->6;6->2,no_wall,,0,0.0,0.0,,0.75,,,,,,False,collision,False,True,False,102,False,False,False,5.9752822793264455,-0.07465264580803081,nan,6.107800393419623,nan,684.22921399191,nan,568.5330276069003,nan,150,0,0.46748207899509,0.0031165471933006,0.3,
no_wall,frenet_corridor_mppi,5,1,1,1,0->1;1->4;2->0;3->5;4->3;5->6;6->2,no_wall,,0,0.0,0.0,,0.75,,,,,,False,collision,False,True,False,18,False,False,False,6.1516866312990794,-0.18014956724995257,nan,5.762638942683351,nan,702.9165100038051,nan,579.518469615911,nan,150,0,0.8918885449820664,0.005945923633213776,0.3,
no_wall,control_bank_mppi,5,1,1,1,0->1;1->4;2->0;3->5;4->3;5->6;6->2,no_wall,,0,0.0,0.0,,0.75,,,,,,True,,True,False,False,,False,False,False,0.28036632190180416,0.04212082151552754,nan,13.192757299239675,nan,158.50662058387752,nan,73.67265937403077,nan,62,0,0.33343087302637286,0.005377917306876982,0.3,
no_wall,standard_mppi,5,1,1,1,0->1;1->4;2->0;3->5;4->3;5->6;6->2,no_wall,,0,0.0,0.0,,0.75,,,,,,True,,True,False,False,,False,False,False,0.26595808375101726,0.032843482055762485,nan,17.563557716915998,nan,151.55075633942266,nan,46.89611176931978,nan,75,0,0.108647072018357,0.0014486276269114265,0.3,
dynamic_wall,gaussian_prior_mppi,5,1,1,1,0->1;1->4;2->0;3->5;4->3;5->6;6->2,wall_0_1,0-1,1,0.4,0.2,0.25,0.75,16,0.27104159502598735,progress,1.2539014632369136,16,False,collision,True,True,False,17,True,True,False,0.28635685179614384,-0.18956168516857685,-0.18956168516857685,13.800766512225426,10.578084649869893,165.0369082648401,109.17107275319538,57.09548205217369,25.851667199311336,59,43,0.47961868200218305,0.008129130203426831,0.3,
